"RowNumber","AnimalName","AnimalGender","AnimalBirthMonth","BreedName","Borough","ZipCode","LicenseIssuedDate","LicenseExpiredDate","Extract.Year"
94793,"WOODY","M",2014,"Poodle Crossbreed",NA,11217,"09/13/2017","09/13/2022",2017
98908,"PEPPER","F",2013,"Unknown",NA,10309,"10/13/2016","11/25/2017",2016
83217,"NONE","F",2017,"Yorkshire Terrier",NA,11432,"07/29/2017","07/29/2018",2017
99399,"DINK","M",2012,"Dachshund, Long Haired Miniature",NA,10028,"09/23/2018","11/01/2019",2018
62368,"HERCULES","M",2011,"Poodle, Toy",NA,10128,"05/11/2016","05/11/2017",2016
25548,"RUCKUS","M",2015,"West High White Terrier",NA,10014,"09/08/2015","09/08/2016",2016
3908,"JACKS","M",2014,"Yorkshire Terrier",NA,10312,"03/20/2016","05/14/2021",2018
97292,"PIONG","F",2013,"Pomeranian",NA,11364,"10/04/2016","12/02/2017",2016
18746,"WRECK","M",2014,"Cocker Spaniel",NA,10456,"05/21/2016","05/21/2017",2017
12072,"PARKER","M",2015,"Chihuahua Crossbreed",NA,10039,"03/18/2016","03/18/2017",2017
3493,"BOSCO","M",2012,"Chihuahua",NA,11209,"08/01/2015","08/01/2018",2017
39405,"MARCELLO","M",2011,"Doberman Pinscher",NA,10472,"12/07/2016","10/13/2017",2017
2848,"SCATTER","M",2009,"Greyhound",NA,11215,"01/20/2015","01/20/2016",2016
40996,"FRANCIS","M",2009,"Labrador Retriever",NA,10026,"01/31/2016","02/20/2017",2016
113285,"BLU","F",2010,"Cocker Spaniel",NA,10011,"12/07/2018","11/17/2019",2018
66507,"MADISON","F",2013,"Unknown",NA,11206,"04/15/2018","04/15/2019",2018
23618,"MOLLY","F",2014,"Goldendoodle",NA,10025,"07/11/2016","07/11/2017",2017
50742,"EMMA","F",2014,"Beagle",NA,11208,"01/25/2018","01/25/2019",2018
2420,"AMANI","F",2009,"Welsh Corgi, Cardigan",NA,10027,"05/28/2015","05/28/2017",2017
32702,"WILLOW","F",2014,"Terrier mix",NA,12722,"09/29/2016","09/29/2017",2017
62026,"ANGEL","F",2006,"Puggle",NA,11415,"05/10/2016","05/10/2017",2016
22008,"CHILL","M",2010,"Yorkshire Terrier",NA,11237,"08/03/2015","08/30/2016",2016
58917,"DAKOTA","M",2016,"Golden Retriever",NA,11385,"04/08/2017","04/08/2019",2017
108459,"KENYA","F",2014,"Chihuahua",NA,11209,"12/05/2016","12/13/2017",2016
28190,"TUXEDO","M",2004,"Shih Tzu",NA,10314,"08/16/2016","09/30/2017",2017
1928,"ROMEY","F",2009,"Poodle, Standard",NA,10128,"07/31/2015","02/01/2020",2018
1966,"CAPRI","F",2011,"Pug",NA,10009,"04/26/2015","04/26/2017",2017
109961,"ALFREDO","M",2007,"Shih Tzu",NA,11225,"11/28/2017","06/02/2018",2017
58806,"FERRERAS","F",2017,"Yorkshire Terrier",NA,10453,"04/07/2017","04/07/2018",2017
58869,"RAY","M",2012,"Havanese",NA,11692,"04/08/2017","04/08/2018",2017
59147,"JULIE","F",2006,"Unknown",NA,11375,"04/26/2016","04/26/2017",2016
56643,"COCO","M",2014,"Yorkshire Terrier",NA,10035,"04/17/2016","04/17/2017",2016
79631,"NAME NOT PROVIDED","M",2014,"Yorkshire Terrier",NA,10022,"07/19/2016","08/26/2017",2016
90422,"NAME","F",2016,"Shiba Inu",NA,11355,"09/05/2016","09/05/2017",2016
27608,"PERLA","F",2014,"Shih Tzu",NA,10454,"07/14/2017","06/14/2018",2018
